Street Number, Street Name, Zipcode, Price, Hyperlink
20780, LEAPWOOD AVE, 90746, 5998620, https://www.loopnet.com/Listing/20770-20780-Leapwood-Ave-Carson-CA/16340253/
4857, 67TH ST, 92115, 4999999, https://www.loopnet.com/Listing/4850-4890-67th-St-San-Diego-CA/17633041/
516, PENNSFIELD PL, 91360, 4875000, https://www.loopnet.com/Listing/516-Pennsfield-Pl-Thousand-Oaks-CA/11566290/
1164, E ASH AVE, 92831, 3405000, https://www.loopnet.com/Listing/1155-1171-E-Ash-Ave-Fullerton-CA/16964787/
7065, LEXINGTON AVE, 90038, 3777000, https://www.loopnet.com/Listing/7065-Lexington-Ave-West-Hollywood-CA/15569321/
2903, NICOL AVE, 94602, 1395000, https://www.loopnet.com/Listing/2901-2907-Nicol-Ave-Oakland-CA/17631529/
26862, CHERRY HILLS BLVD, 92586, 18500000, https://www.loopnet.com/Listing/26800-26926-Cherry-Hills-Blvd-Menifee-CA/17733968/
1535, GRANT AVE, 94133, 2300000, https://www.loopnet.com/Listing/1534-1538-Grant-Ave-San-Francisco-CA/16316455/
3848, BEACON AVE, 94538, 995000, https://www.loopnet.com/Listing/3845-3885-Beacon-Ave-Fremont-CA/14951445/
1406, ALBANY ST, 90015, 1195000, https://www.loopnet.com/Listing/1406-Albany-St-Los-Angeles-CA/17670982/
443, 47TH ST, 92102, 1999000, https://www.loopnet.com/Listing/443-445-47th-St-San-Diego-CA/17432083/
28441, HASKELL CANYON RD, 91390, 8000000, https://www.loopnet.com/Listing/28410-28460-Haskell-Canyon-Rd-Santa-Clarita-CA/14445860/
20472, ANITA AVE, 94546, 16100000, https://www.loopnet.com/Listing/20421-20499-Anita-Ave-Castro-Valley-CA/16738320/
2121, 5TH AVE, 92101, 3750000, https://www.loopnet.com/Listing/2121-5th-Ave-San-Diego-CA/16413936/
337, BURNEY ST, 95354, 220000, https://www.loopnet.com/Listing/337-Burney-St-Modesto-CA/17486719/
1623, H ST, 93721, 1350000, https://www.loopnet.com/Listing/1600-1650-H-St-Fresno-CA/16494239/
2861, 4TH AVE, 92103, 4475000, https://www.loopnet.com/Listing/2851-2881-4th-Ave-San-Diego-CA/16619074/
242, 1/2 EVERETT ST, 90026, 1300000, https://www.loopnet.com/Listing/938-1-2-940-1-2-Everett-St-Los-Angeles-CA/17711224/
3830, CYPRESS DR, 94954, 14000000, https://www.loopnet.com/Listing/3830-Cypress-Dr-Petaluma-CA/15419654/
814, CHESTNUT ST, 95380, 719000, https://www.loopnet.com/Listing/814-Chestnut-St-Turlock-CA/17709773/
32, & BRUCE RD, 95928, 10000000, https://www.loopnet.com/Listing/Hwy-32-Bruce-Rd-Chico-CA/16082050/
3863, BEACON AVE, 94538, 995000, https://www.loopnet.com/Listing/3845-3885-Beacon-Ave-Fremont-CA/14951445/
1651, CAHUENGA BLVD, 90028, 8500000, https://www.loopnet.com/Listing/1641-1651-Cahuenga-Blvd-Los-Angeles-CA/17541412/
