Street Number, Street Name, Zipcode, Price
707, 1/2 EVERETT ST, 90026, $1300000
6825, WALTHALL WAY, 90723, $9550000
244, PICO AVE, 92069, $995000
1122, COLORADO AVE, 95380, $8080000
7360, LA TIJERA BLVD, 90045, $7200000
8026, COMOLETTE ST, 90242, $899900
11680, BURBANK BLVD, 91601, $5450000
2334, STANWELL DR, 94520, $3000000
518, N MYERS ST, 92054, $13250000
4726, ENGLE RD, 95608, $1450000
715, N ARROWHEAD AVE, 92401, $2400000
1536, E WALNUT AVE, 92867, $6950000
1711, SESSUMS DR, 92374, $5400000
7733, N 1ST ST, 93720, $9200000
2302, WEBSTER ST, 94115, $3750000
966, W 7TH ST, 93030, $299500
18572, PASADENA ST, 92530, $895000
1235, CARVER RD, 95350, $3050000
661, WALNUT ST, 95691, $800000
8246, WHITE OAK AVE, 91325, $5500000
1324, ALAMEDA ST, 90221, $650000
2372, PACIFIC AVE, 90806, $955000
5903, MISSION GORGE RD, 92120, $12450000
8978, FOLSOM BLVD, 95826, $2500000
20432, ANITA AVE, 94546, $16100000
5610, AUTO MALL PKY, 94538, $8800000
2460, S MAIN ST, 92882, $1395000
647, E 3RD AVE, 94401, $16500000
876, 1/2 EVERETT ST, 90026, $1300000
1682, E HIGHLAND AVE, 92404, $3099900
3685, W 5TH ST, 93030, $560000
9781, RESEARCH DR, 92618, $2102660
1052, GRANT AVE, 94133, $6150000
635, E SLAUSON AVE, 90011, $11308239
920, E CALIFORNIA AVE, 93307, $1100000
748, E CHAPMAN AVE, 92866, $399900
4559, PECK RD, 91732, $5500000
442, E EUCLID AVE, 90222, $49950000
2405, FAIRMOUNT AVE, 92105, $7750000
1288, 1ST ST, 95020, $8350000
2683, CONEJO CENTER DR, 91320, $585000
231, E SIXTH ST, 93030, $875000
2322, MARKET ST, 94114, $6495000
1622, VERNON AVE, 95351, $599000
679, E 3RD AVE, 94401, $16500000
663, 1/2 EVERETT ST, 90026, $1300000
1331, S HUDSON AVE, 90019, $1589000
9551, WILSHIRE BLVD, 90212, $12000000
448, W ALMOND ST, 90220, $1850000
1330, E CARSON ST, 90745, $3495000
1009, S WILLOWBROOK AVE, 90220, $1650000
1415, STANLEY AVE, 91206, $2300000
558, HARVEST PARK DR, 94513, $1799900
595, 1/2 EVERETT ST, 90026, $1300000
5656, CUSHING PKY, 94538, $29950000
41228, FREMONT BLVD, 94538, $3196000
642, W CHAPMAN AVE, 92868, $2995000
0, OTTERSON DR, 95928, $445000
4141, S NOGALES ST, 91792, $699000
5223, 3RD ST, 94124, $2995000
22529, SIOUX RD, 92308, $3750000
5401, E ANAHEIM RD, 90815, $10150000
3604, W 5TH ST, 93030, $625000
828, OCEAN BLVD, 90802, $2100000
427, W 1ST ST, 92780, $2900000
323, MAIN ST, 93901, $1195000
31696, HAYMAN ST, 94544, $730000
35136, ALVARADO NILES RD, 94587, $3150000
4394, DELTA ST, 92113, $7500000
2662, E ST, 92102, $1525000
1825, ARNOLD INDUSTRIAL PL, 94520, $3000000
1125, COLORADO AVE, 95380, $8080000
910, W 7TH ST, 93030, $239900
3648, W 5TH ST, 93030, $625000
908, SANTA FE AVE, 93721, $2750000
2646, SOQUEL DR, 95065, $3400000
755, W 30TH ST, 90731, $1800000
609, N FRESNO ST, 93701, $139900
727, 1/2 EVERETT ST, 90026, $1300000
116, N A ST, 93030, $1800000
1171, KENNY DR, 95991, $1800000
27513, NUEVO RD, 92571, $1100000
2050, SINALOA RD, 93065, $2600000
713, E 62ND ST, 90001, $8604750
2610, CONEJO CENTER DR, 91320, $585000
814, E MAIN ST, 91801, $8980000
639, E SLAUSON AVE, 90011, $11308239
1334, 4TH ST, 94901, $6000000
448, E EUCLID AVE, 90222, $49950000
1714, S EUCLID AVE, 91762, $2900000
151, 1/2 EVERETT ST, 90026, $1300000
613, MAIN ST, 92020, $2500000
239, W HERNDON AVE, 93650, $495000
1107, S KING RD, 95122, $8082360
1188, E FLORENCE AVE, 90001, $2300000
